fips,region,time,firms,establishments,net_change,total_job_gains,expanding_job_gains,opening_job_gains,total_job_losses,contracting_job_losses,closing_job_losses
41,Oregon,1999,5659.0,5670.0,21090.0,21090.0,0.0,21090.0,0.0,0.0,0.0
41,Oregon,2000,5517.0,5531.0,23783.0,23783.0,0.0,23783.0,0.0,0.0,0.0
41,Oregon,2001,5873.0,5883.0,23727.0,23727.0,0.0,23727.0,0.0,0.0,0.0
41,Oregon,2002,5100.0,5109.0,20794.0,20794.0,0.0,20794.0,0.0,0.0,0.0
41,Oregon,2003,5532.0,5537.0,19588.0,19588.0,0.0,19588.0,0.0,0.0,0.0
41,Oregon,2004,5669.0,5704.0,21862.0,21862.0,0.0,21862.0,0.0,0.0,0.0
41,Oregon,2005,6057.0,6060.0,23109.0,23109.0,0.0,23109.0,0.0,0.0,0.0
41,Oregon,2006,6369.0,6392.0,22301.0,22301.0,0.0,22301.0,0.0,0.0,0.0
41,Oregon,2007,6424.0,6429.0,22210.0,22210.0,0.0,22210.0,0.0,0.0,0.0
41,Oregon,2008,5563.0,5566.0,18877.0,18877.0,0.0,18877.0,0.0,0.0,0.0
41,Oregon,2009,4651.0,4656.0,16805.0,16805.0,0.0,16805.0,0.0,0.0,0.0
41,Oregon,2010,4186.0,4190.0,14446.0,14446.0,0.0,14446.0,0.0,0.0,0.0
41,Oregon,2011,4701.0,4705.0,17185.0,17185.0,0.0,17185.0,0.0,0.0,0.0
41,Oregon,2012,4648.0,4651.0,16751.0,16751.0,0.0,16751.0,0.0,0.0,0.0
41,Oregon,2013,4570.0,4574.0,16065.0,16065.0,0.0,16065.0,0.0,0.0,0.0
41,Oregon,2014,4519.0,4524.0,15430.0,15430.0,0.0,15430.0,0.0,0.0,0.0
41,Oregon,2015,4901.0,4904.0,17503.0,17503.0,0.0,17503.0,0.0,0.0,0.0
41,Oregon,2016,5080.0,5085.0,18238.0,18238.0,0.0,18238.0,0.0,0.0,0.0
41,Oregon,2017,4943.0,4947.0,21362.0,21362.0,0.0,21362.0,0.0,0.0,0.0
41,Oregon,2018,5858.0,5863.0,21517.0,21517.0,0.0,21517.0,0.0,0.0,0.0
41,Oregon,2019,5499.0,5500.0,19913.0,19913.0,0.0,19913.0,0.0,0.0,0.0
41,Oregon,2020,5828.0,5828.0,21336.0,21336.0,0.0,21336.0,0.0,0.0,0.0
41,Oregon,2021,6746.0,6748.0,20940.0,20940.0,0.0,20940.0,0.0,0.0,0.0
42,Pennsylvania,1994,14178.0,14191.0,84399.0,84399.0,0.0,84399.0,0.0,0.0,0.0
42,Pennsylvania,1995,12536.0,12575.0,65861.0,65861.0,0.0,65861.0,0.0,0.0,0.0
42,Pennsylvania,1996,13348.0,13384.0,67363.0,67363.0,0.0,67363.0,0.0,0.0,0.0
42,Pennsylvania,1997,15075.0,15110.0,76353.0,76353.0,0.0,76353.0,0.0,0.0,0.0
42,Pennsylvania,1998,15252.0,15293.0,78328.0,78328.0,0.0,78328.0,0.0,0.0,0.0
42,Pennsylvania,1999,13050.0,13072.0,68602.0,68602.0,0.0,68602.0,0.0,0.0,0.0
42,Pennsylvania,2000,14175.0,14190.0,74334.0,74334.0,0.0,74334.0,0.0,0.0,0.0
42,Pennsylvania,2001,12734.0,12765.0,61233.0,61233.0,0.0,61233.0,0.0,0.0,0.0
42,Pennsylvania,2002,15189.0,15233.0,75145.0,75145.0,0.0,75145.0,0.0,0.0,0.0
42,Pennsylvania,2003,13772.0,13807.0,65025.0,65025.0,0.0,65025.0,0.0,0.0,0.0
42,Pennsylvania,2004,13626.0,13658.0,61483.0,61483.0,0.0,61483.0,0.0,0.0,0.0
42,Pennsylvania,2005,15085.0,15158.0,59411.0,59411.0,0.0,59411.0,0.0,0.0,0.0
42,Pennsylvania,2006,16235.0,16280.0,57577.0,57577.0,0.0,57577.0,0.0,0.0,0.0
42,Pennsylvania,2007,13806.0,13842.0,50248.0,50248.0,0.0,50248.0,0.0,0.0,0.0
42,Pennsylvania,2008,13934.0,13958.0,48397.0,48397.0,0.0,48397.0,0.0,0.0,0.0
42,Pennsylvania,2009,13442.0,13465.0,44066.0,44066.0,0.0,44066.0,0.0,0.0,0.0
42,Pennsylvania,2010,13135.0,13151.0,40451.0,40451.0,0.0,40451.0,0.0,0.0,0.0
42,Pennsylvania,2011,13829.0,13863.0,46013.0,46013.0,0.0,46013.0,0.0,0.0,0.0
42,Pennsylvania,2012,15765.0,15795.0,53052.0,53052.0,0.0,53052.0,0.0,0.0,0.0
42,Pennsylvania,2013,14502.0,14538.0,49682.0,49682.0,0.0,49682.0,0.0,0.0,0.0
42,Pennsylvania,2014,13368.0,13380.0,47433.0,47433.0,0.0,47433.0,0.0,0.0,0.0
42,Pennsylvania,2015,13695.0,13751.0,47889.0,47889.0,0.0,47889.0,0.0,0.0,0.0
42,Pennsylvania,2016,13758.0,13768.0,48751.0,48751.0,0.0,48751.0,0.0,0.0,0.0
42,Pennsylvania,2017,13158.0,13171.0,48550.0,48550.0,0.0,48550.0,0.0,0.0,0.0
42,Pennsylvania,2018,12785.0,12802.0,46930.0,46930.0,0.0,46930.0,0.0,0.0,0.0
42,Pennsylvania,2019,12832.0,12847.0,46857.0,46857.0,0.0,46857.0,0.0,0.0,0.0
42,Pennsylvania,2020,12452.0,12461.0,46985.0,46985.0,0.0,46985.0,0.0,0.0,0.0
42,Pennsylvania,2021,13150.0,13163.0,44479.0,44479.0,0.0,44479.0,0.0,0.0,0.0
44,Rhode Island,1994,1671.0,1673.0,7253.0,7253.0,0.0,7253.0,0.0,0.0,0.0
44,Rhode Island,1995,1527.0,1529.0,6733.0,6733.0,0.0,6733.0,0.0,0.0,0.0
44,Rhode Island,1996,1628.0,1630.0,6992.0,6992.0,0.0,6992.0,0.0,0.0,0.0
44,Rhode Island,1997,1608.0,1609.0,6450.0,6450.0,0.0,6450.0,0.0,0.0,0.0
44,Rhode Island,1998,1529.0,1529.0,6228.0,6228.0,0.0,6228.0,0.0,0.0,0.0
44,Rhode Island,1999,1465.0,1465.0,5738.0,5738.0,0.0,5738.0,0.0,0.0,0.0
44,Rhode Island,2000,1424.0,1424.0,5802.0,5802.0,0.0,5802.0,0.0,0.0,0.0
44,Rhode Island,2001,1452.0,1454.0,5893.0,5893.0,0.0,5893.0,0.0,0.0,0.0
44,Rhode Island,2002,1426.0,1427.0,5667.0,5667.0,0.0,5667.0,0.0,0.0,0.0
44,Rhode Island,2003,1444.0,1445.0,5433.0,5433.0,0.0,5433.0,0.0,0.0,0.0
44,Rhode Island,2004,1482.0,1482.0,6303.0,6303.0,0.0,6303.0,0.0,0.0,0.0
44,Rhode Island,2005,1567.0,1569.0,6065.0,6065.0,0.0,6065.0,0.0,0.0,0.0
44,Rhode Island,2006,1324.0,1324.0,4395.0,4395.0,0.0,4395.0,0.0,0.0,0.0
44,Rhode Island,2007,1450.0,1450.0,4930.0,4930.0,0.0,4930.0,0.0,0.0,0.0
44,Rhode Island,2008,1251.0,1251.0,4370.0,4370.0,0.0,4370.0,0.0,0.0,0.0
44,Rhode Island,2009,1025.0,1027.0,3841.0,3841.0,0.0,3841.0,0.0,0.0,0.0
44,Rhode Island,2010,1060.0,1060.0,3917.0,3917.0,0.0,3917.0,0.0,0.0,0.0
44,Rhode Island,2011,1090.0,1091.0,3818.0,3818.0,0.0,3818.0,0.0,0.0,0.0
44,Rhode Island,2012,1229.0,1229.0,4288.0,4288.0,0.0,4288.0,0.0,0.0,0.0
44,Rhode Island,2013,1133.0,1133.0,4113.0,4113.0,0.0,4113.0,0.0,0.0,0.0
44,Rhode Island,2014,1146.0,1147.0,4015.0,4015.0,0.0,4015.0,0.0,0.0,0.0
44,Rhode Island,2015,1126.0,1126.0,4259.0,4259.0,0.0,4259.0,0.0,0.0,0.0
44,Rhode Island,2016,1297.0,1297.0,4207.0,4207.0,0.0,4207.0,0.0,0.0,0.0
44,Rhode Island,2017,1190.0,1191.0,4122.0,4122.0,0.0,4122.0,0.0,0.0,0.0
44,Rhode Island,2018,1189.0,1189.0,4379.0,4379.0,0.0,4379.0,0.0,0.0,0.0
44,Rhode Island,2019,1253.0,1253.0,4207.0,4207.0,0.0,4207.0,0.0,0.0,0.0
44,Rhode Island,2020,1351.0,1351.0,3938.0,3938.0,0.0,3938.0,0.0,0.0,0.0
44,Rhode Island,2021,1408.0,1408.0,3875.0,3875.0,0.0,3875.0,0.0,0.0,0.0
45,South Carolina,1994,5178.0,5181.0,25721.0,25721.0,0.0,25721.0,0.0,0.0,0.0
45,South Carolina,1995,5459.0,5462.0,27958.0,27958.0,0.0,27958.0,0.0,0.0,0.0
45,South Carolina,1996,5853.0,5858.0,33864.0,33864.0,0.0,33864.0,0.0,0.0,0.0
45,South Carolina,1997,5826.0,5827.0,28468.0,28468.0,0.0,28468.0,0.0,0.0,0.0
45,South Carolina,1998,4312.0,4321.0,22128.0,22128.0,0.0,22128.0,0.0,0.0,0.0
45,South Carolina,1999,6645.0,6662.0,35821.0,35821.0,0.0,35821.0,0.0,0.0,0.0
45,South Carolina,2000,4719.0,4719.0,25373.0,25373.0,0.0,25373.0,0.0,0.0,0.0
45,South Carolina,2001,5665.0,5666.0,28729.0,28729.0,0.0,28729.0,0.0,0.0,0.0
45,South Carolina,2002,5146.0,5149.0,23963.0,23963.0,0.0,23963.0,0.0,0.0,0.0
45,South Carolina,2003,5459.0,5481.0,27734.0,27734.0,0.0,27734.0,0.0,0.0,0.0
45,South Carolina,2004,5560.0,5566.0,26393.0,26393.0,0.0,26393.0,0.0,0.0,0.0
45,South Carolina,2005,5937.0,5937.0,27813.0,27813.0,0.0,27813.0,0.0,0.0,0.0
45,South Carolina,2006,5306.0,5307.0,25096.0,25096.0,0.0,25096.0,0.0,0.0,0.0
45,South Carolina,2007,7417.0,7440.0,35373.0,35373.0,0.0,35373.0,0.0,0.0,0.0
45,South Carolina,2008,5540.0,5556.0,24639.0,24639.0,0.0,24639.0,0.0,0.0,0.0
45,South Carolina,2009,4485.0,4499.0,20342.0,20342.0,0.0,20342.0,0.0,0.0,0.0
45,South Carolina,2010,3947.0,3957.0,18430.0,18430.0,0.0,18430.0,0.0,0.0,0.0
45,South Carolina,2011,4016.0,4035.0,18829.0,18829.0,0.0,18829.0,0.0,0.0,0.0
45,South Carolina,2012,4338.0,4348.0,19852.0,19852.0,0.0,19852.0,0.0,0.0,0.0
45,South Carolina,2013,4145.0,4151.0,17457.0,17457.0,0.0,17457.0,0.0,0.0,0.0
45,South Carolina,2014,4562.0,4565.0,20284.0,20284.0,0.0,20284.0,0.0,0.0,0.0
45,South Carolina,2015,4621.0,4622.0,19939.0,19939.0,0.0,19939.0,0.0,0.0,0.0
45,South Carolina,2016,5060.0,5063.0,22178.0,22178.0,0.0,22178.0,0.0,0.0,0.0
45,South Carolina,2017,4880.0,4885.0,21353.0,21353.0,0.0,21353.0,0.0,0.0,0.0
45,South Carolina,2018,5442.0,5453.0,24985.0,24985.0,0.0,24985.0,0.0,0.0,0.0
45,South Carolina,2019,6288.0,6303.0,32725.0,32725.0,0.0,32725.0,0.0,0.0,0.0
45,South Carolina,2020,5660.0,5670.0,27830.0,27830.0,0.0,27830.0,0.0,0.0,0.0
45,South Carolina,2021,5362.0,5368.0,20373.0,20373.0,0.0,20373.0,0.0,0.0,0.0
46,South Dakota,1994,1087.0,1089.0,4684.0,4684.0,0.0,4684.0,0.0,0.0,0.0
46,South Dakota,1995,1083.0,1085.0,4248.0,4248.0,0.0,4248.0,0.0,0.0,0.0
46,South Dakota,1996,1042.0,1044.0,4340.0,4340.0,0.0,4340.0,0.0,0.0,0.0
46,South Dakota,1997,941.0,942.0,4251.0,4251.0,0.0,4251.0,0.0,0.0,0.0
46,South Dakota,1998,1084.0,1090.0,4503.0,4503.0,0.0,4503.0,0.0,0.0,0.0
46,South Dakota,1999,1129.0,1130.0,4819.0,4819.0,0.0,4819.0,0.0,0.0,0.0
46,South Dakota,2000,1034.0,1034.0,5143.0,5143.0,0.0,5143.0,0.0,0.0,0.0
46,South Dakota,2001,983.0,989.0,4203.0,4203.0,0.0,4203.0,0.0,0.0,0.0
46,South Dakota,2002,1010.0,1011.0,3867.0,3867.0,0.0,3867.0,0.0,0.0,0.0
46,South Dakota,2003,977.0,977.0,3280.0,3280.0,0.0,3280.0,0.0,0.0,0.0
46,South Dakota,2004,1039.0,1044.0,4018.0,4018.0,0.0,4018.0,0.0,0.0,0.0
46,South Dakota,2005,1134.0,1136.0,4302.0,4302.0,0.0,4302.0,0.0,0.0,0.0
46,South Dakota,2006,1100.0,1103.0,4065.0,4065.0,0.0,4065.0,0.0,0.0,0.0
46,South Dakota,2007,994.0,994.0,4145.0,4145.0,0.0,4145.0,0.0,0.0,0.0
46,South Dakota,2008,908.0,908.0,3201.0,3201.0,0.0,3201.0,0.0,0.0,0.0
46,South Dakota,2009,961.0,962.0,3528.0,3528.0,0.0,3528.0,0.0,0.0,0.0
46,South Dakota,2010,837.0,837.0,3102.0,3102.0,0.0,3102.0,0.0,0.0,0.0
46,South Dakota,2011,799.0,800.0,2472.0,2472.0,0.0,2472.0,0.0,0.0,0.0
46,South Dakota,2012,915.0,916.0,3564.0,3564.0,0.0,3564.0,0.0,0.0,0.0
46,South Dakota,2013,866.0,867.0,2996.0,2996.0,0.0,2996.0,0.0,0.0,0.0
46,South Dakota,2014,942.0,943.0,3713.0,3713.0,0.0,3713.0,0.0,0.0,0.0
