fips,region,type,category,time,rne,ose
36,New York,Total,Total,2000,0.0033287967271176844,0.8489199931500329
34,New Jersey,Total,Total,2000,0.002077640724371049,0.7865147172708226
42,Pennsylvania,Total,Total,2000,0.0016599889967856688,0.9316976793768317
39,Ohio,Total,Total,2000,0.001718857934207558,0.9775642985740017
18,Indiana,Total,Total,2000,0.0028003741257647268,0.7653165058728357
17,Illinois,Total,Total,2000,0.0022635044304069093,0.8893091178661406
26,Michigan,Total,Total,2000,0.0023499375179755065,0.8382028925155691
55,Wisconsin,Total,Total,2000,0.004036526386927149,0.9083929008569017
27,Minnesota,Total,Total,2000,0.0019147968057376002,0.8850701150193266
19,Iowa,Total,Total,2000,0.003672477884845029,0.882872233636834
29,Missouri,Total,Total,2000,0.002123459445206464,0.8501093178844495
38,North Dakota,Total,Total,2000,0.004588836579822406,0.9279841811153935
46,South Dakota,Total,Total,2000,0.0037325841267607063,1.0
31,Nebraska,Total,Total,2000,0.003372944656053901,0.8378035149312942
20,Kansas,Total,Total,2000,0.002539264709357834,1.0
10,Delaware,Total,Total,2000,0.0022597546440199135,0.9146311102234831
24,Maryland,Total,Total,2000,0.0028543886899488912,0.8110130173161976
11,District of Columbia,Total,Total,2000,0.0038226948086880065,0.7256649416138182
51,Virginia,Total,Total,2000,0.0014850030945576403,0.909187684865667
54,West Virginia,Total,Total,2000,0.00218137286299347,0.8244451761368952
37,North Carolina,Total,Total,2000,0.0029772411181356708,0.8639214399306058
45,South Carolina,Total,Total,2000,0.002084635325520251,0.8403034144400086
13,Georgia,Total,Total,2000,0.002281672889750568,0.7851678779955695
12,Florida,Total,Total,2000,0.002926701510183307,0.9383845424483749
21,Kentucky,Total,Total,2000,0.0016226454945694779,1.0
47,Tennessee,Total,Total,2000,0.0023342394432710133,0.8940585414002653
01,Alabama,Total,Total,2000,0.0023115508934303404,0.5624334054104997
28,Mississippi,Total,Total,2000,0.004117803631109811,0.8912313500757484
05,Arkansas,Total,Total,2000,0.003496063596029663,1.0
22,Louisiana,Total,Total,2000,0.0034816843083993734,0.9213637461943779
40,Oklahoma,Total,Total,2000,0.0021130181105456078,0.7105473398847335
48,Texas,Total,Total,2000,0.003399037842943428,0.806529566116136
30,Montana,Total,Total,2000,0.004653744786347774,0.9165376560633551
16,Idaho,Total,Total,2000,0.004935792560048685,0.8795338090839323
56,Wyoming,Total,Total,2000,0.004420302384715271,0.9301157342126476
08,Colorado,Total,Total,2000,0.0038343741064048777,0.9107241616975735
35,New Mexico,Total,Total,2000,0.004648511792902737,0.9031463438503375
04,Arizona,Total,Total,2000,0.0038435250561604625,0.8885474758932386
49,Utah,Total,Total,2000,0.0036102800612117588,0.8869532585093822
32,Nevada,Total,Total,2000,0.0014173933462805167,0.7492602233587561
53,Washington,Total,Total,2000,0.002458201723387271,0.9417995671737909
41,Oregon,Total,Total,2000,0.004002941520140637,0.8327215682374861
06,California,Total,Total,2000,0.0029236038129754342,0.8497459788064077
02,Alaska,Total,Total,2000,0.005891677364373745,0.822691989903926
