fips,name,type,category,year,rne,ose,sjc,ssr,zindex
46,South Dakota,Total,Total,2005,0.0031152930356682785,0.9312691108339556,5.578386910004345,0.8341433778857837,3.8903580043754236
46,South Dakota,Total,Total,2006,0.0034612947692866888,0.8742046184733506,5.1913520886092925,0.8191549295774648,3.0824934350144524
46,South Dakota,Total,Total,2007,0.003365556094892246,0.8651311845706062,5.236078284739074,0.8260105448154658,3.009748064466285
46,South Dakota,Total,Total,2008,0.0032537807622620173,0.8658877976470948,4.005636171607911,0.8285371702637889,2.3254174604660287
46,South Dakota,Total,Total,2009,0.0033583265292349263,0.8963234189264352,4.371384284080504,0.814176245210728,2.634905191648513
46,South Dakota,Total,Total,2010,0.003020734186153741,0.866301131725313,3.831328430735904,0.770320197044335,-0.4499626947628118
46,South Dakota,Total,Total,2011,0.0031325378515200506,0.8182941562273497,3.061029967981214,0.8092749836708034,0.2077618401521466
46,South Dakota,Total,Total,2012,0.0026181729719475335,0.8295457455513118,4.28160457600238,0.7737373737373737,-1.5728736168361288
46,South Dakota,Total,Total,2013,0.0033360523781434726,0.8399383791388696,3.612658432227335,0.7959682345754429,0.728917092189572
46,South Dakota,Total,Total,2014,0.0034026412167128942,0.8691467226658932,4.403335653357734,0.8056729028364514,2.024264455787518
46,South Dakota,Total,Total,2015,0.0035403352902951893,0.8436518558697766,3.6967732567670737,0.7936145952109465,1.1901597725529878
46,South Dakota,Total,Total,2016,0.0031312888360589147,0.8967968563237517,4.079972560707118,0.8117580553985303,1.9151486683645256
46,South Dakota,Total,Total,2017,0.0027772490009777,0.9273242499504327,4.023517874409418,0.8144385026737968,1.6533071910617738
46,South Dakota,Total,Total,2018,0.0031719189240554204,0.9362988658474894,4.070795654479697,0.8041511442256519,2.305374842802825
46,South Dakota,Total,Total,2019,0.0027960026982622815,0.9576216991170039,3.217058776319463,0.8037848605577689,1.3931359516744188
46,South Dakota,Total,Total,2020,0.002797042184200897,0.8255111415321265,4.225303203590836,0.7728395061728395,-1.2910122683107723
47,Tennessee,Total,Total,1996,,,7.965450187505435,0.7780743740795287,
47,Tennessee,Total,Total,1997,,,7.506501361189824,0.777176285689339,
47,Tennessee,Total,Total,1998,0.003344818146604821,0.9350196284930515,7.123820364108369,0.7683949349760438,2.6726121025503797
47,Tennessee,Total,Total,1999,0.0024463962945493116,0.9294649824876388,6.922155544197552,0.7812201683589343,0.9713409625962447
47,Tennessee,Total,Total,2000,0.0023668784390413864,0.9102619988539281,6.442463241965461,0.7801580333625988,0.25679521211016076
