region,demographic-type,demographic,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
22,,,5.994711832133519,6.715793526048326,6.474723579974885,6.408475947535101,6.6088461577164885,7.022974066940234,6.7183024712564325,6.135311284433986,6.103371572400213,6.482283462846445,7.3284813017048736,7.29823079495043,6.019272312609878,5.663622795018665,5.008216467614266,4.869935801120065,5.370821643774403,5.049381266451682,5.34774558124622,4.544842589805661,4.699736112788536,4.578680072625124,5.025656213181564,5.041522597043448,4.255252277669688
23,,,6.4184266568459485,5.308525678727803,6.125672787574248,5.388346142430423,5.828175701918139,5.195645613412855,5.916849285471773,5.280467932580847,4.80174896931387,5.449704918231678,5.611886804284315,4.718019049915601,4.48700459748863,4.571334020261886,3.77289137251446,3.5451755799211613,3.4404611181950533,3.228140773142351,3.3295428154403606,3.3698170993373298,3.9464680463030217,4.593844503121506,4.191009045918135,4.308844140656385,4.5787810310182415
24,,,6.946615268508169,7.450175749923216,7.147517976875236,6.205146855776629,6.672523655468973,5.625439676439074,6.736834443272347,5.765911384613817,6.237318447034262,6.2025481463255625,5.94665320388736,5.14999094351584,4.847699150302597,4.172143317346051,4.124626747710388,4.187231640682061,4.413119637329217,4.077533922610594,4.167671738945422,4.286147232289967,4.505837850137332,4.162441806493767,4.054142266429548,4.50073440870175,4.00756167391206
25,,,6.740395575488741,6.645135654052693,6.758784267068123,5.853408354300738,7.394156737572597,6.442694283542948,5.361211717373573,5.675614026483189,5.185206325175082,5.691449239375384,4.791824880921998,4.59328756837961,4.308261272626681,3.7369509358717674,4.0782436763922245,4.533246199526037,5.229322205221218,4.912625133782639,5.3813653809868285,5.819645734585298,5.30965436467042,6.092898775749517,5.8827760007613366,5.629740023326795,5.1305752284663955
26,,,8.872338321560012,8.210580208014006,7.1652534103064385,5.42410536564389,8.967138744731196,6.392476519149004,7.751921730960661,6.729705914221794,6.87387714855278,6.710385103695233,6.1555900156644805,4.968861998119442,4.9531064436327785,3.7127366702987428,4.471471048877703,3.495502919732551,3.9605360939947833,4.139890134887645,4.570362003527143,4.316172987243392,4.3329171763107865,4.203601803809723,4.310165231180224,4.177190080923357,4.164528264781562
27,,,6.184822825026252,5.608190805287831,6.037505204208574,5.081993753540847,5.8516015997755835,6.378948686640994,6.008645260398869,6.701002775858343,6.366121673923038,6.8448733670104565,8.287313682143406,5.8668732523007066,8.064199512942398,3.7269917479028924,4.7212976959524955,4.685995118349808,4.581669268352018,4.507083152996437,3.5449862311663436,5.519121376890904,4.677928218291488,4.279557258683167,4.236165750040714,3.7881904351205895,3.5985096888256005
28,,,6.308392935444137,5.099380483427463,5.449163836433814,5.525723304417185,5.2609350034914915,5.372952063691686,4.478638924734869,4.502299610363169,4.68499589824888,4.575106944630366,5.139453723918047,5.3019618556525,4.827997500513941,4.131440927897839,3.8262300424029507,3.9486613594849618,3.9097585105784005,3.7902627587612185,3.7997397062934635,3.84511009141464,4.140982845025566,3.6800947629420677,3.745697781296335,3.790468823973531,3.8968095440655306
29,,,5.581092553087487,8.059559296671363,5.9345155036478365,5.5049058351498426,5.965810548242153,5.58539387946625,5.79753560682488,6.0242725903216146,5.617859259837909,5.911265392121306,6.220236383701793,5.709785223618676,5.313208357444636,4.322533067788967,3.731837396226201,4.525916035455949,4.760666141355598,5.333640140281407,4.110827214812187,4.576947730894578,4.778931303478566,5.187770094011958,5.648665394781744,5.322587898383492,5.063603502728094
30,,,7.2699248748101555,6.302079528917307,9.559282454329802,5.927530370236667,5.700546486783739,6.436880968420914,6.525408948662176,6.421060643954634,7.269822120000989,7.36728567751159,7.456764620674887,6.550182128026569,6.163362914334582,4.139303361240348,4.036552043662189,4.049869850679223,4.130374792161254,4.495007246669936,4.50449128019345,4.877362381426042,4.762412584221302,4.640459409282059,4.6847968020062885,5.355649161940085,5.567395937540777
31,,,6.198692747977583,5.340905991278556,5.342560749515277,4.992479897510741,5.935279084151195,5.350510164922702,5.301766136740783,5.079823747600859,5.244173616787759,5.151867985015018,5.263742791334992,4.660095097115686,4.498496418905153,4.068003065069844,3.475733270949779,4.204442725265555,6.624388996294723,4.852893320516663,5.287015895634647,4.977589216175103,4.565452850941638,5.112354360532938,4.886233689617961,5.02220834487864,4.959350768392281
32,,,12.07211099908781,12.391559681288632,11.181793997488656,15.86587812797524,10.337631226591228,9.157934215561482,8.176499028655469,8.474108989038843,8.815448836469864,8.53280419777949,8.701536236778827,7.078235435235933,7.243285612538297,5.063946525916641,4.843093466745362,4.954787243846605,4.604962980995599,4.688091009629067,5.631332454106787,5.239734783335118,5.585140749317152,6.572264095989602,6.381507732363153,6.295135700919045,5.476922076858538
33,,,7.319197186731465,7.376673602791265,6.074099872298787,6.387815524208397,6.319956253901581,5.775310091380682,5.163546449460991,4.926397049631205,5.240593711752618,5.450168349131146,5.421934913852073,4.373200054855471,4.080078668233141,3.3386470045634757,3.503290647816386,3.204055137016911,3.5733919736118747,3.4991127841992666,3.020232633662357,3.4384704605829315,3.683211068704849,3.3800740962064433,3.7407690631083925,3.735352585953927,3.6976450568150625
34,,,9.020692559483932,7.244967883420563,9.722569804008922,10.523001601035073,10.481434285801724,8.542188906175689,8.274167412342594,7.76233920935215,7.460946769615734,8.18946057859166,8.264217595687857,7.0331653392502895,6.864238574047564,5.403511945837647,5.880142908996771,5.776203464453405,5.948258337929181,6.108521061148212,5.996485993327336,6.285557122622153,6.663527538075086,5.606759307975612,5.332868183467861,5.735072093706619,6.691344011638335
35,,,7.843860103656511,8.366956101370322,8.061962080509222,6.726464839537145,6.10365450548099,5.969350708908166,5.848621442573717,6.450877568607149,6.27531767909369,6.2537714630533765,6.527067172169935,11.67245373278327,5.9537605027597875,4.755494152107078,4.011524049769635,4.000576798288832,4.201582036967214,3.78726867860934,5.061811819476561,4.450792158679667,4.230193676701902,3.86320958569336,4.052102004022476,3.827684565598816,4.168409438456378
36,,,9.113611348115983,10.447110628087323,10.269192008106673,11.157817528984827,10.646686784080229,9.37816482013839,7.6894940902298075,6.7456931313767745,6.181445679427248,6.5292712285464445,6.725385065013818,6.694112349590367,6.422610854760947,5.635501530890298,5.564622622884536,6.342554564046877,6.271364964635855,6.287718578770653,6.408258409004018,6.36016913235768,6.276591128151437,6.295798601419163,6.0780781666443175,5.533022977129996,5.298142772093962
