region,demographic-type,demographic,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
12,,,9.959901328722928,9.914591463466028,9.646429526404155,9.797314254121392,10.276045855074758,8.902812416434687,8.465328529477146,8.821703725898807,8.859212332499471,9.759871602111822,9.754615376570362,8.315293652896186,7.71839185461674,6.4904471451875665,6.171487710856953,6.587122177717099,6.922853781115817,6.940685077235459,6.853653631722928,6.933629016160191,6.7959422857191925,6.4275180046492935,6.274619231110137,6.326923548789148,6.17494471160217,6.527256072320956
13,,,7.8207519488222275,7.3226122396081035,8.67726681737071,8.26327233588513,7.585961037292537,7.918670059751429,7.756701255815528,6.699685357169075,5.986371471591876,6.8258494752698935,6.537813736475395,6.598083334438504,5.76884857540519,4.903414938769418,4.094469444178734,4.094392503247408,4.440368714418018,4.246185928293256,4.126239485986182,5.051752983534718,5.148181547269482,6.03102879543684,5.788339998806979,5.7797452357318715,5.330243640136145,5.738563938587902
15,,,7.798929184094769,7.1828265821531145,7.813316458654431,6.402544823597456,7.481547466500318,6.883652487707471,7.102216578883893,5.876974377254919,5.622781333402431,5.393241738987831,5.175871992035006,4.963991867292455,4.363416360596991,4.205040851195908,3.0580008401987446,3.502427629666309,2.9581217145921577,3.548393281557231,3.2625493270594355,3.40142273278333,4.037661490698458,5.146051686578072,3.9004838120418723,4.440373141074899,3.2793037129905627,3.025209617683151
16,,,6.6005421072361585,6.612834955881874,7.539546285723412,6.716449500420954,7.4825115627621335,7.563854110951679,5.807343036112362,6.499288532910853,6.703539727633673,8.221301587057086,9.122545651879355,8.738260785792352,7.095651493821367,6.033688037935229,4.378811087215883,4.589275905827982,4.3376768606251765,4.453806651663412,5.424520204621142,5.899244060933014,6.204900200905859,5.914834533086106,6.009587920499778,6.767521047079988,6.363740364210009,6.112293869872688
17,,,7.8809307257306385,5.897889454988895,6.1372179754196745,6.046191364687491,5.535797710838713,5.345581455497462,5.143324575771326,5.107914093064307,5.3927898461711745,5.082196112055739,5.668954057492296,5.1232424790872875,4.5474093667877975,4.030623958624585,4.24547231522005,3.916547904503875,4.232094521952632,3.8854981598090252,4.269395776768244,4.782441564073106,5.294166144652244,5.3724019135401155,4.408133853847079,4.6668904177229145,4.216792333364846,4.318441689751993
18,,,5.758029994177121,6.275285390226836,5.371335982716774,5.525421222176656,5.2944368769766115,5.27419481180725,5.160683934790424,5.30594170580886,5.216101955284183,5.352612741406705,5.454730067211787,4.847953609623426,4.403090147780338,4.447213911670337,3.3290542139567907,4.079779907337159,3.863742357216288,3.841543998040408,3.1722974428100756,3.542751961058177,3.4428630343137727,3.3566744036342016,3.706520964761839,3.5756412558771484,3.4835179460167964,3.8109105441754574
19,,,5.1246527777777775,4.780156057222134,5.501103734508446,4.101611099952907,4.452270979120655,5.354371099288301,4.083178096907063,4.85758152874967,4.970485520384204,4.953357346749182,4.757523861379367,4.763917989125144,4.153166967985908,3.6836395889042395,3.3486902379582695,2.8098681944835793,3.8424154554822687,3.4494052208909354,3.776351970669111,3.5569183840869476,3.6172654086660443,3.587401123649154,3.820406286186511,3.53050803944128,3.4243057111906485,2.8398921542498634
20,,,7.895036782564063,8.95915898503847,8.268441906669102,7.76899704219557,9.037818509318662,8.644929504596691,6.760185514467291,7.532122611645081,7.363662528850306,6.672497239827065,6.391401015805317,6.089909960718949,4.89623500218655,4.4611085379905555,4.078455246152285,4.189284562904617,5.09625312407179,4.208125778546473,4.625104508744258,4.4984360664156995,5.365797686169372,4.78423827954446,3.952106215688275,3.9038016499422996,3.9638891415177064,3.9048150639511863
21,,,6.193591841889408,5.992035412334764,5.909082925384968,6.514100237104887,5.592215994928156,5.2574498565926575,5.382805097955316,5.003922597318061,5.330067936116366,5.158816871803233,5.295741720248604,5.091536298779892,4.575654599035218,4.015219567697937,3.249404751090169,3.506093270182005,3.424946413256045,3.7256005515977515,4.114763014886226,4.000247628997537,3.918721674775843,4.11587981675856,4.216174607775165,4.048416256068875,3.6806066937055792,3.223271242211259
22,,,5.993802509140401,6.714210199293339,6.470895047771074,6.406682551670538,6.543549308624886,6.91354716243754,6.712965896843572,6.134647720591845,6.092607636068236,6.46414783985065,7.301521266470896,7.2826900016249265,5.988385751059725,5.651600481604969,5.002055217126868,4.847425215134544,5.349087105941962,5.0143506568347425,5.30037275950778,4.520617721284527,4.670664698645934,4.562193826864444,5.018144983893778,5.04109237793716,4.205524788615117,4.093816520463569
23,,,6.4184266568459485,5.297368291022925,6.123290184389661,5.388346142430423,5.810948795369408,5.194867822153362,5.916849285471773,5.280467932580847,4.80174896931387,5.19189224643555,5.611131299868013,4.715758379551483,4.4862530054287495,4.565317127836401,3.7698784826182616,3.5436698778273317,3.430669963524183,3.1867253911682827,3.3295428154403606,3.360782737140715,3.9464680463030217,4.590847377365106,4.191009045918135,4.308844140656385,4.47656948422424,4.341055218193226
24,,,6.925879687463933,7.4342760437187625,7.147133691384934,6.196392469781667,6.630347310900288,5.618741616959933,6.69749902075017,5.751719939471667,6.227403061330266,6.180732743614122,5.9429214408799,5.148398983409653,4.840135339443602,4.171445284333277,4.122726475712364,4.166852900947851,4.392735712907372,4.053898002224478,4.1404781340755505,4.26793674512101,4.482684006840878,4.149327309296949,4.051822773510463,4.500569001336491,4.008717590172202,2.6636912220328237
25,,,6.739586482055278,6.635498737724577,6.751131008166984,5.853250059953983,7.377807374317414,6.423155810413662,5.338148720798428,5.65848691293899,5.1499614567733385,5.6825475653921655,4.785584713086443,4.5876901696773675,4.302696241919305,3.7361837838484733,4.056618126444591,4.517218578794581,5.223769155208498,4.815951582787341,5.3012186444377285,5.803602705119698,5.277559906723833,6.078175290814339,5.873767822934094,5.628724427105799,5.147402493974824,4.465746172038605
26,,,8.840469143000897,8.203749781706712,7.15580981285227,5.397531967898527,8.964124411577048,6.353842211884152,7.735148082362609,6.704907962751684,6.839765835282137,6.695063454015202,6.127292117311528,4.9596631792477845,4.932195382898111,3.691830939088476,4.4606383592626075,3.487508919887169,3.9490176207381014,4.088140247239375,4.555457445068646,4.27297803048114,4.291814007457462,4.199891829171912,4.306359168884199,4.1755879752759055,4.170347727976217,3.5881681587684815
27,,,6.174425668500032,5.593075519745391,6.000525199172645,5.077684718582057,5.81167207032786,6.306098022074353,5.960228614237881,6.681610551902693,6.347842340949657,6.830223779288921,8.281116401394,5.859383626872238,8.045712822025768,3.7156307000507267,4.712824440934633,4.662052623732661,4.5721837957253255,4.460717405572276,3.512882495373852,5.49759651165845,4.66054555489083,4.260513848691125,4.227603875603813,3.785708003642791,3.603105486640193,3.4211785071635195
28,,,6.307301266154431,5.095059279712957,5.449163836433814,5.522187746605158,5.2609350034914915,5.372952063691686,4.473041937872746,4.492189134236443,4.68499589824888,4.567880374804323,5.110537842283143,5.3019618556525,4.810357262316448,4.106430568877515,3.8211804690582345,3.937582816306675,3.908753086651456,3.7688488448699125,3.7826855194571554,3.8166674530219633,4.125587612594371,3.6643678622457343,3.737982301359937,3.7874447818304797,3.792656430224492,3.406481093843486
29,,,5.568389004028866,8.058829528535119,5.928720255208253,5.490522385322552,5.950295017998907,5.5240587810056905,5.786962593560154,6.019718699135444,5.611247966809917,5.907984042277602,6.168547987370232,5.692970256871546,5.297171668200562,4.312971054948359,3.7268340389734846,4.520425438103914,4.729957520848249,5.304835603070166,4.085894096663222,4.558336896292524,4.7656245507944215,5.180401102401145,5.638700717113746,5.320632681963845,4.965904517041889,4.742560496301426
30,,,7.266539840722863,6.302079528917307,9.557041384712095,5.927530370236667,5.699440014251366,6.428060302482686,6.525408948662176,6.421060643954634,7.1300385265088835,7.36515824878577,7.456764620674887,6.548108957547688,6.1244450361782645,4.136254524981148,4.031505091869663,4.04585908578625,4.130374792161254,4.484154507487897,4.497641087066933,4.869598971348165,4.762412584221302,4.63190819415439,4.683853997256438,5.354713513938348,5.507242889678385,6.140702780386337
31,,,6.190925711281322,5.302955732208741,5.342560749515277,4.990133531679459,5.935279084151195,5.315623117553069,5.301766136740783,5.0792485863975525,5.214448630078257,5.148461791305918,5.263742791334992,4.652805813484053,4.46119914628213,4.044832990655288,3.4686276674708756,4.202269605883068,6.623309841941658,4.841634951125274,5.202410870734696,4.9479795926244545,4.562829027464085,5.090433086092674,4.883637115226624,5.017038804636871,4.918061553960874,4.839862870552001
